neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322
Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324
Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132
Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295
Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238
Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209
Manhattan,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,285,5,70,0.62,1,328
Brooklyn,Flatbush,40.65401,-73.96323000000001,Entire home/apt,130,6,16,0.15,1,38
Manhattan,Lower East Side,40.7114,-73.98794000000001,Private room,94,30,94,0.84,1,188
Brooklyn,Brooklyn Heights,40.69723,-73.99268000000001,Entire home/apt,800,1,25,0.24,1,7
Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272
Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26
Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0
Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288
Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317
Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207
Brooklyn,Clinton Hill,40.68634,-73.96600000000001,Private room,98,7,16,0.2,6,185
Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158
Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0
Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9
Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198
Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365
Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364
Brooklyn,Bedford-Stuyvesant,40.684129999999996,-73.92357,Entire home/apt,125,7,139,1.23,2,311
